Toy Story (1995)::4.3	MoviesUsersRatingsTable
GoldenEye (1995)::3.6	MoviesUsersRatingsTable
City Hall (1996)::3.0	MoviesUsersRatingsTable
Curdled (1996)::3.0	MoviesUsersRatingsTable
Ed's Next Move (1996)::4.0	MoviesUsersRatingsTable
Extreme Measures (1996)::2.9	MoviesUsersRatingsTable
Glimmer Man, The (1996)::2.8	MoviesUsersRatingsTable
D3: The Mighty Ducks (1996)::2.7	MoviesUsersRatingsTable
Chamber, The (1996)::3.3	MoviesUsersRatingsTable
Apple Dumpling Gang, The (1975)::3.0	MoviesUsersRatingsTable
Davy Crockett, King of the Wild Frontier (1955)::3.6	MoviesUsersRatingsTable
Escape to Witch Mountain (1975)::3.0	MoviesUsersRatingsTable
Bottle Rocket (1996)::3.5	MoviesUsersRatingsTable
Love Bug, The (1969)::3.6	MoviesUsersRatingsTable
Herbie Rides Again (1974)::3.0	MoviesUsersRatingsTable
Old Yeller (1957)::3.9	MoviesUsersRatingsTable
Parent Trap, The (1961)::3.7	MoviesUsersRatingsTable
Pollyanna (1960)::3.6	MoviesUsersRatingsTable
Homeward Bound: The Incredible Journey (1993)::3.5	MoviesUsersRatingsTable
Shaggy Dog, The (1959)::3.4	MoviesUsersRatingsTable
Swiss Family Robinson (1960)::3.7	MoviesUsersRatingsTable
That Darn Cat! (1965)::3.6	MoviesUsersRatingsTable
20,000 Leagues Under the Sea (1954)::3.7	MoviesUsersRatingsTable
Mr. Wrong (1996)::1.6	MoviesUsersRatingsTable
Cool Runnings (1993)::3.4	MoviesUsersRatingsTable
Angels in the Outfield (1994)::3.2	MoviesUsersRatingsTable
Cinderella (1950)::3.9	MoviesUsersRatingsTable
Winnie the Pooh and the Blustery Day (1968)::4.0	MoviesUsersRatingsTable
Three Caballeros, The (1945)::3.0	MoviesUsersRatingsTable
Sword in the Stone, The (1963)::3.5	MoviesUsersRatingsTable
Robin Hood: Prince of Thieves (1991)::2.9	MoviesUsersRatingsTable
Mary Poppins (1964)::4.0	MoviesUsersRatingsTable
Dumbo (1941)::3.7	MoviesUsersRatingsTable
Unforgettable (1996)::3.0	MoviesUsersRatingsTable
Pete's Dragon (1977)::2.8	MoviesUsersRatingsTable
Bedknobs and Broomsticks (1971)::3.4	MoviesUsersRatingsTable
Alice in Wonderland (1951)::3.5	MoviesUsersRatingsTable
Fox and the Hound, The (1981)::3.4	MoviesUsersRatingsTable
Freeway (1996)::3.6	MoviesUsersRatingsTable
Sound of Music, The (1965)::4.1	MoviesUsersRatingsTable
Die Hard (1988)::4.1	MoviesUsersRatingsTable
Lawnmower Man, The (1992)::2.7	MoviesUsersRatingsTable
Unhook the Stars (1996)::2.0	MoviesUsersRatingsTable
Synthetic Pleasures (1995)::4.0	MoviesUsersRatingsTable
Happy Gilmore (1996)::3.2	MoviesUsersRatingsTable
Secrets & Lies (1996)::4.0	MoviesUsersRatingsTable
That Thing You Do! (1996)::3.5	MoviesUsersRatingsTable
To Gillian on Her 37th Birthday (1996)::3.1	MoviesUsersRatingsTable
Surviving Picasso (1996)::3.0	MoviesUsersRatingsTable
Beautiful Thing (1996)::3.9	MoviesUsersRatingsTable
Long Kiss Goodnight, The (1996)::3.5	MoviesUsersRatingsTable
Ghost and the Darkness, The (1996)::3.3	MoviesUsersRatingsTable
Bridges of Madison County, The (1995)::3.2	MoviesUsersRatingsTable
Looking for Richard (1996)::4.3	MoviesUsersRatingsTable
Trees Lounge (1996)::3.3	MoviesUsersRatingsTable
Normal Life (1996)::3.3	MoviesUsersRatingsTable
Get on the Bus (1996)::3.2	MoviesUsersRatingsTable
Shadow Conspiracy (1997)::2.3	MoviesUsersRatingsTable
Jude (1996)::3.4	MoviesUsersRatingsTable
Everyone Says I Love You (1996)::3.3	MoviesUsersRatingsTable
Bitter Sugar (Azucar Amargo) (1996)::3.5	MoviesUsersRatingsTable
William Shakespeare's Romeo and Juliet (1996)::3.8	MoviesUsersRatingsTable
Nobody Loves Me (Keiner liebt mich) (1994)::3.8	MoviesUsersRatingsTable
Swingers (1996)::3.7	MoviesUsersRatingsTable
Sleepers (1996)::3.6	MoviesUsersRatingsTable
Johns (1996)::4.0	MoviesUsersRatingsTable
Aladdin and the King of Thieves (1996)::3.1	MoviesUsersRatingsTable
Shall We Dance? (1937)::4.1	MoviesUsersRatingsTable
Damsel in Distress, A (1937)::3.3	MoviesUsersRatingsTable
Crossfire (1947)::3.8	MoviesUsersRatingsTable
Murder, My Sweet (1944)::3.5	MoviesUsersRatingsTable
Muppet Treasure Island (1996)::2.9	MoviesUsersRatingsTable
Willy Wonka and the Chocolate Factory (1971)::3.8	MoviesUsersRatingsTable
Innocents, The (1961)::4.2	MoviesUsersRatingsTable
Sleeper (1973)::3.9	MoviesUsersRatingsTable
Bananas (1971)::3.6	MoviesUsersRatingsTable
Fish Called Wanda, A (1988)::4.0	MoviesUsersRatingsTable
Catwalk (1995)::4.5	MoviesUsersRatingsTable
Monty Python's Life of Brian (1979)::3.9	MoviesUsersRatingsTable
Victor/Victoria (1982)::3.6	MoviesUsersRatingsTable
Candidate, The (1972)::3.7	MoviesUsersRatingsTable
Great Race, The (1965)::3.5	MoviesUsersRatingsTable
Bonnie and Clyde (1967)::4.1	MoviesUsersRatingsTable
Old Man and the Sea, The (1958)::4.2	MoviesUsersRatingsTable
Dial M for Murder (1954)::4.0	MoviesUsersRatingsTable
Madame Butterfly (1995)::3.0	MoviesUsersRatingsTable
Dirty Dancing (1987)::3.3	MoviesUsersRatingsTable
Reservoir Dogs (1992)::4.1	MoviesUsersRatingsTable
Platoon (1986)::4.1	MoviesUsersRatingsTable
Weekend at Bernie's (1989)::2.7	MoviesUsersRatingsTable
Basic Instinct (1992)::3.7	MoviesUsersRatingsTable
Doors, The (1991)::3.3	MoviesUsersRatingsTable
Crying Game, The (1992)::3.7	MoviesUsersRatingsTable
Glengarry Glen Ross (1992)::3.9	MoviesUsersRatingsTable
Sophie's Choice (1982)::3.9	MoviesUsersRatingsTable
E.T. the Extra-Terrestrial (1982)::4.0	MoviesUsersRatingsTable
Christmas Carol, A (1938)::4.1	MoviesUsersRatingsTable
American President, The (1995)::3.8	MoviesUsersRatingsTable
Braveheart (1995)::4.2	MoviesUsersRatingsTable
Days of Thunder (1990)::2.6	MoviesUsersRatingsTable
Top Gun (1986)::3.8	MoviesUsersRatingsTable
Rebel Without a Cause (1955)::3.9	MoviesUsersRatingsTable
Streetcar Named Desire, A (1951)::4.2	MoviesUsersRatingsTable
Children of the Corn IV: The Gathering (1996)::1.4	MoviesUsersRatingsTable
Taxi Driver (1976)::4.2	MoviesUsersRatingsTable
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)::3.7	MoviesUsersRatingsTable
Palookaville (1996)::3.7	MoviesUsersRatingsTable
Associate, The (1996)::3.5	MoviesUsersRatingsTable
Funeral, The (1996)::2.0	MoviesUsersRatingsTable
Single Girl, A (La Fille Seule) (1995)::2.8	MoviesUsersRatingsTable
Drunks (1997)::3.6	MoviesUsersRatingsTable
Rumble in the Bronx (1995)::3.5	MoviesUsersRatingsTable
People vs. Larry Flynt, The (1996)::3.6	MoviesUsersRatingsTable
Glory Daze (1996)::3.3	MoviesUsersRatingsTable
Perfect Candidate, A (1996)::4.3	MoviesUsersRatingsTable
On Golden Pond (1981)::3.7	MoviesUsersRatingsTable
Return of the Pink Panther, The (1974)::3.9	MoviesUsersRatingsTable
Drop Dead Fred (1991)::2.3	MoviesUsersRatingsTable
Abyss, The (1989)::3.7	MoviesUsersRatingsTable
Fog, The (1980)::2.8	MoviesUsersRatingsTable
Escape from New York (1981)::3.5	MoviesUsersRatingsTable
Before and After (1996)::2.9	MoviesUsersRatingsTable
Howling, The (1980)::3.0	MoviesUsersRatingsTable
Jean de Florette (1986)::4.5	MoviesUsersRatingsTable
Manon of the Spring (Manon des sources) (1986)::4.5	MoviesUsersRatingsTable
Private Benjamin (1980)::3.2	MoviesUsersRatingsTable
Monty Python and the Holy Grail (1974)::4.3	MoviesUsersRatingsTable
Dadetown (1995)::4.5	MoviesUsersRatingsTable
Everything Relative (1996)::4.0	MoviesUsersRatingsTable
Margaret's Museum (1995)::2.5	MoviesUsersRatingsTable
Line King: Al Hirschfeld, The (1996)::3.8	MoviesUsersRatingsTable
When We Were Kings (1996)::4.2	MoviesUsersRatingsTable
Wrong Trousers, The (1993)::4.4	MoviesUsersRatingsTable
